"","h16_g3","h16_g4","h16_g6","h16_eco9","h16_reg7","p1602_8aq1"
"1",2,1945,4,NA,1,NA
"2",1,1948,3,942,1,165
"3",1,1942,7,762,1,NA
"4",1,1962,6,855,1,366
"5",2,1963,5,399,1,190
"6",2,2003,5,NA,1,NA
"7",1,1927,4,NA,1,NA
"8",2,1934,4,NA,1,NA
"9",2,1940,3,999,2,27
"10",2,1970,5,151,1,NA
"11",2,1992,4,NA,1,NA
"12",1,1940,4,NA,1,NA
"13",2,1941,2,NA,1,NA
"14",1,1962,6,NA,1,NA
"15",1,1978,7,399,1,250
"16",2,1975,7,254,1,167
"17",2,2004,5,NA,1,NA
"18",2,2008,3,NA,1,NA
"19",1,1941,5,NA,1,NA
"20",2,1942,3,510,1,80
"21",1,1964,3,NA,1,NA
"22",1,1975,7,521,1,NA
"23",2,1961,4,NA,1,NA
"24",1,1961,4,783,1,NA
"25",2,1986,6,399,1,310
"26",2,1962,5,941,1,188
"27",2,1985,7,313,1,210
"28",1,1992,5,NA,1,NA
"29",1,1952,5,783,1,NA
"30",2,1961,4,951,1,NA
"31",2,1982,6,531,1,NA
"32",1,1984,7,531,1,NA
"33",1,1971,7,873,7,300
"34",1,1943,3,NA,1,NA
"35",2,1945,3,NA,1,NA
"36",1,1975,2,NA,1,NA
"37",1,1972,7,281,1,NA
"38",2,1974,6,111,1,619
"39",2,2006,4,NA,1,NA
"40",2,2006,4,NA,1,NA
"41",2,1954,4,421,1,277
"42",2,1941,3,NA,1,NA
"43",1,1972,7,313,1,333
"44",2,1973,7,313,1,321
"45",1,2004,5,NA,1,NA
"46",1,1926,5,NA,1,NA
"47",2,1936,3,NA,1,NA
"48",1,1968,5,842,2,244
"49",2,1940,2,NA,2,NA
"50",2,1982,5,942,2,59
"51",1,1976,5,873,2,288
"52",1,2010,3,NA,2,NA
"53",2,2012,3,NA,2,NA
"54",2,1937,3,NA,1,NA
"55",1,1973,5,510,7,315
"56",2,1974,6,313,7,40
"57",2,2009,3,NA,7,NA
"58",1,1959,4,852,1,280
"59",2,1967,5,930,1,130
"60",2,1995,5,NA,1,NA
"61",2,1998,5,521,1,180
"62",1,1955,4,941,1,168
"63",2,1958,5,NA,1,NA
"64",1,1982,6,521,1,250
"65",1,1968,5,312,1,658
"66",2,1970,5,272,1,300
"67",1,1994,5,NA,1,NA
"68",1,1999,7,NA,1,NA
"69",1,1973,8,273,1,795
"70",2,1975,7,953,1,117
"71",1,2004,5,NA,1,NA
"72",2,2007,4,NA,1,NA
"73",1,1950,5,NA,5,NA
"74",2,1956,5,630,5,100
"75",1,1930,4,NA,1,NA
"76",2,1938,3,NA,1,NA
"77",2,1962,4,NA,1,NA
"78",2,1991,6,422,1,220
"79",2,1959,7,NA,1,NA
"80",2,1989,8,285,1,275
"81",2,1995,6,311,1,250
"82",2,1997,7,521,1,86
"83",2,1982,5,930,5,210
"84",2,1985,5,441,5,270
"85",2,1957,5,999,5,110
"86",1,1975,5,761,5,300
"87",1,1947,7,730,1,208
"88",2,1956,5,941,1,183
"89",1,1980,7,235,1,683
"90",1,1954,4,NA,1,NA
"91",2,1960,4,NA,1,NA
"92",1,1978,6,312,1,583
"93",2,1983,6,NA,1,NA
"94",1,1981,6,922,1,NA
"95",2,1946,5,NA,2,NA
"96",1,1965,5,721,1,NA
"97",2,1968,5,721,1,NA
"98",2,1998,5,521,1,64
"99",2,2001,5,NA,1,NA
"100",1,1958,5,NA,1,NA
"101",2,1959,5,532,1,NA
"102",1,1988,6,NA,1,NA
"103",2,1985,5,NA,2,NA
"104",1,1979,6,442,2,NA
"105",1,2018,1,NA,2,NA
"106",1,2020,1,NA,2,NA
"107",1,1960,4,941,1,260
"108",2,1960,3,NA,1,NA
"109",2,1989,6,NA,1,NA
"110",1,1987,7,863,2,317
"111",2,1986,5,NA,2,NA
"112",1,2013,3,NA,2,NA
"113",2,2017,1,NA,2,NA
"114",1,1961,3,910,2,NA
"115",2,1992,7,281,2,200
"116",2,1996,7,NA,2,NA
"117",2,1933,3,NA,2,NA
"118",1,1967,5,521,1,NA
"119",2,1994,7,521,1,134
"120",2,1937,4,NA,1,NA
"121",2,1941,3,NA,1,NA
"122",1,1936,4,NA,1,NA
"123",2,1940,3,NA,1,NA
"124",1,1957,4,792,1,NA
"125",2,1960,3,NA,1,NA
"126",1,1983,6,899,2,280
"127",1,1950,3,873,1,230
"128",2,1953,3,941,1,143
"129",1,1959,5,875,1,NA
"130",2,1961,5,NA,1,NA
"131",2,1990,7,312,1,325
"132",1,1954,6,862,1,250
"133",2,1955,5,941,1,NA
"134",2,1989,6,243,1,278
"135",1,1971,4,NA,1,NA
"136",2,1977,5,NA,1,NA
"137",2,2000,6,521,1,34
"138",1,2002,5,NA,1,NA
"139",1,2004,5,NA,1,NA
"140",2,2014,1,NA,1,NA
"141",2,1939,2,NA,1,NA
"142",2,1954,4,941,1,70
"143",1,1978,6,311,2,479
"144",2,1982,6,NA,2,NA
"145",2,2014,1,NA,2,NA
"146",1,2016,1,NA,2,NA
"147",1,1942,4,NA,1,NA
"148",2,1949,3,NA,1,NA
"149",1,1995,5,922,1,170
"150",2,1980,7,NA,1,NA
"151",1,1980,7,222,1,580
"152",2,2016,1,NA,1,NA
"153",2,1943,4,NA,1,NA
"154",1,1973,5,521,1,250
"155",1,1960,5,314,1,617
"156",2,1966,5,429,1,115
"157",1,1994,7,222,1,225
"158",2,1943,2,941,1,40
"159",2,1971,7,259,1,NA
"160",2,1998,7,NA,1,NA
"161",2,1999,7,NA,1,NA
"162",1,1958,5,721,1,250
"163",2,1958,4,NA,1,NA
"164",1,1986,6,313,1,250
"165",2,1984,5,NA,1,NA
"166",1,2013,3,NA,1,NA
"167",1,2019,1,NA,1,NA
"168",1,1966,5,862,1,250
"169",2,1968,7,521,1,79
"170",1,1959,5,741,1,229
"171",2,1959,5,441,1,190
"172",1,1960,7,941,1,190
"173",2,1960,5,NA,1,NA
"174",1,1988,6,510,1,233
"175",1,1985,8,221,1,375
"176",2,1960,3,951,1,90
"177",1,1957,3,941,1,80
"178",1,1987,6,864,1,230
"179",2,1943,5,941,1,105
"180",2,1971,5,NA,1,NA
